Date,Mortgage_Rate,AL,AL_monthly,GDP,CPI,Treasury,Credit_Availability,Corp_debt,unemployment,BusinessConfidenceIndex,Regimes,usedauto,retailauto,luxury,MultiFamilyPermits,SingleFamilyPermits,HPI,mhi
1990-04-01,10.56,1.913283493673572,23.117223042675025,5960.028,128.9,0.08,254.0,3143754.0,5.4,99.2597,1.0,14492.418460535862,6.866,240.28547015640024,200.7115975161432,117.10662138290914,111.14,31537.5
1990-05-01,10.33,1.94935706315764,23.557351176581992,5978.390666666667,129.1,0.1,614.3333333333333,3173607.0,5.4,99.18343,1.0,14047.10790161239,6.692,232.72298788228625,212.75299890798553,120.19773886928898,111.55,31602.0
1990-06-01,10.15,1.978421158136696,23.911972222262147,5996.753333333333,129.9,0.19,974.6666666666666,3203460.0,5.2,98.98992,1.0,14839.192028716834,6.748,213.00532062994225,238.23738659684514,112.30008080591706,111.96000000000001,31666.5
1990-07-01,9.98,2.00656632301313,24.255388192253854,6015.116,130.5,0.45,1335.0,3233313.0,5.5,98.68245,1.0,13760.88558688583,6.779,221.16981888056395,195.8379141938476,125.11759580475618,112.37,31731.0
1990-08-01,10.24,1.9637959152915327,23.73352335113889,6011.655,131.6,0.79,1164.6666666666667,3277148.6666666665,5.7,98.3827,1.0,13349.77998991723,6.877,227.12543072585623,269.18231072841695,115.91637651650832,112.00666666666667,31795.5
1990-09-01,10.22,1.967029751781605,23.772980585582705,6008.194,132.5,0.8,994.3333333333331,3320984.333333333,5.9,98.06229,1.0,12470.651309069011,7.408,254.3516043132661,226.15385434290306,102.81815048676438,111.64333333333333,31860.0
1990-10-01,10.17,1.9751548364269007,23.87211824287653,6004.733,133.4,0.88,824.0,3364820.0,5.9,97.7317,1.0,11822.373491088794,6.928,256.4549394370617,200.3575854000672,99.74159839882785,111.28,31924.5
1990-11-01,9.9,2.020051288710045,24.41992745999804,6014.881333333334,133.7,0.73,1644.0,3398276.333333333,6.2,97.40628,1.0,12774.323287029509,6.367,259.6348183632814,262.46431301297406,101.98013447224548,111.28333333333333,31989.0
1990-12-01,9.68,2.057951162825012,24.882368599616157,6025.029666666666,134.2,0.93,2464.0,3431732.6666666665,6.3,97.14877,1.0,13894.250699618471,6.547,306.238281325278,356.98982066384417,98.64129996125115,111.28666666666668,32053.5
1991-01-01,9.61,2.070267152653901,25.03264244117748,6035.178,134.7,0.98,3284.0,3465189.0,6.4,96.97387,1.0,16321.704392664124,5.981,276.0766689383939,314.1036577809329,115.33391905755408,111.29,32118.0
1991-02-01,9.29,2.128210439447988,25.739614675631703,6065.739333333333,134.8,0.98,3681.6666666666665,3489455.333333333,6.6,96.99493,1.0,14913.867231834998,6.158,252.38686821321656,264.1675807706385,126.6057183021652,111.05333333333334,32182.5
1991-03-01,9.52,2.086288659596392,25.228127122198376,6096.300666666667,134.8,1.03,4079.3333333333335,3513721.6666666665,6.8,97.24443,1.0,15327.94324100913,6.319,273.3359885856467,280.2782622376044,121.56296913716557,110.81666666666666,32247.0
1991-04-01,9.53,2.084498023512612,25.20627900955163,6126.862,135.1,1.22,4477.0,3537988.0,6.7,97.69718,1.0,14495.622683329682,5.724,283.13533700465985,350.2735967024262,115.11231800120014,110.58,32311.5
1991-05-01,9.45,2.09889713745024,25.38196596428764,6153.220333333334,135.6,1.38,3292.333333333333,3580426.333333333,6.9,98.30886,1.0,14198.216965634045,6.104,260.2577713498139,293.2278917384427,105.95436820326168,110.55666666666667,32376.0
1991-06-01,9.67,2.059702885620275,24.903742357794457,6179.578666666666,136.0,1.34,2107.6666666666665,3622864.6666666665,6.9,99.02848,1.0,15131.91780605538,6.277,237.05732552155112,268.7504913853048,102.78778382231307,110.53333333333333,32440.5
1991-07-01,9.5,2.08987783795524,25.271919696160413,6205.937,136.2,1.39,923.0,3665303.0,6.8,99.56333,1.0,13947.141698421843,6.463,251.74735163222832,306.9377178394273,95.78934826129188,110.51,32505.0
1991-08-01,9.15,2.154436724357542,26.059584932146265,6225.471333333333,136.6,1.46,970.0,3710768.0,6.9,99.94424,1.0,13598.83255223057,6.167,258.5803744408187,287.050138873794,99.96329295933056,110.70666666666666,32569.5
1991-09-01,8.92,2.1987324685122966,26.599970146817565,6245.005666666667,137.0,1.48,1017.0,3756233.0,6.9,100.0572,1.0,12530.519571358498,6.204,267.7192990617739,275.5709501040878,106.53736905272663,110.90333333333334,32634.0
1991-10-01,8.91,2.200693326334044,26.623890284255275,6264.54,137.2,1.77,1064.0,3801698.0,7.0,99.77213,2.0,11857.987292721053,6.019,267.0016786433776,286.74115714473186,100.63610050007836,111.1,32698.5
1991-11-01,8.7,2.2425640249241185,27.134632131250022,6297.394,137.8,2.0,2668.666666666667,3828228.0,7.0,99.27264,2.0,12283.783780077154,6.228,265.7014310365587,260.05705659812725,91.8162527383192,110.99,32763.0
1991-12-01,8.35,2.315398395394257,28.022905146429164,6330.248,138.2,1.94,4273.333333333334,3854758.0,7.3,98.94275,1.0,13499.72198680123,5.998,286.1551065590495,264.2240986729056,103.10803404089077,110.88,32827.5
1992-01-01,8.68,2.246621757602243,27.184125273644607,6363.102,138.3,2.2,5878.0,3881288.0,7.3,99.06855,2.0,1744.0,6.095,282.1019546416758,230.94513459533232,97.48006165881843,110.77,32892.0
1992-02-01,8.83,2.216487233003252,26.8165526561218,6398.989,138.6,2.0,6581.333333333333,3915744.0,7.4,99.57008,2.0,1990.0,6.242,254.6248946771792,262.86879248011553,149.49057511819035,110.46333333333332,32956.5
1992-03-01,8.98,2.187029163209296,26.457201254607043,6434.876,139.1,1.94,7284.666666666667,3950200.0,7.4,99.98627,1.0,2177.0,6.164,269.8197458999769,265.2590627736684,153.58974905091185,110.15666666666667,33021.0
1992-04-01,8.85,2.212520834966696,26.768169225355965,6470.763,139.4,2.15,7988.0,3984656.0,7.4,100.1696,1.0,2601.0,5.966,283.8547768853393,282.9581357374198,143.2039520470027,109.85,33085.5
1992-05-01,8.6,2.262976976128832,27.38360722629024,6502.722333333333,139.7,2.14,10274.333333333334,4011311.0,7.6,100.2912,5.0,2171.0,6.275,269.24492491592434,323.6033420581187,143.30491471005934,109.76666666666667,33150.0
1992-06-01,8.43,2.298403821204516,27.81566397655454,6534.681666666666,140.1,2.31,12560.666666666668,4037966.0,7.8,100.2138,5.0,2207.0,6.51,259.4424869545128,312.9263670809124,133.7713274198403,109.68333333333332,33214.5
1992-07-01,8.05,2.381037560682516,28.823206414663005,6566.641,140.5,2.3,14847.0,4064621.0,7.7,100.0575,5.0,2251.0,6.379,252.86201189172905,332.47330624633105,139.6413988294416,109.6,33279.0
1992-08-01,8.01,2.390023632446656,28.932749963158432,6604.695,140.8,2.47,8977.666666666668,4102083.6666666665,7.6,99.81163,5.0,2087.0,6.058,255.29868424287136,285.65206789303477,131.83690402911415,109.28,33343.5
1992-09-01,8.02,2.3877718354888238,28.905300166573905,6642.749,141.1,2.57,3108.333333333334,4139546.3333333335,7.6,99.55763,5.0,2016.0,6.325,267.6458443416523,273.92951318987036,127.25568783856595,108.96,33408.0
1992-10-01,8.21,2.3456493605077453,28.39176662653862,6680.803,141.7,2.4,-2761.0,4177009.0,7.3,99.6041,5.0,2149.0,6.392,296.6738390054465,366.8930074578169,136.01686741957855,108.64,33472.5
1992-11-01,8.29,2.328282810372881,28.18001539856108,6697.0216666666665,142.1,2.16,1581.666666666667,4194866.0,7.4,99.92116,5.0,1667.0,6.284,291.64843288474407,336.10875666979035,123.34888530118951,108.19333333333333,33537.0
1992-12-01,8.14,2.361023156064798,28.579206752318303,6713.240333333333,142.3,2.14,5924.333333333334,4212723.0,7.4,100.2268,5.0,1583.0,6.628,302.78215071220336,359.5895725488265,114.45798639879601,107.74666666666667,33601.5
1993-06-01,7.34,2.549303205087644,30.873553477179406,6857.711666666667,144.3,1.77,4449.333333333333,4391642.666666667,7.0,99.29132,5.0,2393.0,6.938,100.0,459.4077515362394,108.51718938463321,105.80666666666666,34522.458333333336
1993-07-01,7.25,2.572028321405352,31.150306191018043,6882.098,144.5,1.7,2060.0,4411489.0,6.9,99.30216,5.0,2485.0,6.847,98.7,480.9020478173337,121.59568311995618,105.52,34693.75
1993-08-01,6.97,2.64488752888684,32.03732062605696,6925.978,144.8,1.57,6163.0,4452888.333333333,6.8,99.41178,5.0,2287.0,6.407,98.8,414.3496146699217,112.27452327070907,105.43333333333334,34865.041666666664
1993-09-01,6.95,2.6502201438648045,32.10222404996262,6969.858,145.0,1.51,10266.0,4494287.666666667,6.7,99.6084,5.0,2167.0,6.541,100.1,509.65295149897713,109.02914453301864,105.34666666666666,35036.333333333336
1993-10-01,6.86,2.674434443141133,32.396905385837634,7013.738,145.6,1.44,14369.0,4535687.0,6.8,99.90913,5.0,2339.0,7.286,103.1,428.95227986340035,99.37241824448722,105.26,35207.625
1993-11-01,7.31,2.5568415944465817,30.96536256782835,7047.709333333333,146.0,1.61,10334.666666666666,4549081.0,6.6,100.1855,3.0,2253.0,7.216,103.9,501.62674381903526,97.76930208336111,104.94333333333334,35378.916666666664
1993-12-01,7.13,2.6028478789097997,31.525568868874963,7081.680666666667,146.3,1.58,6300.333333333333,4562475.0,6.5,100.4386,4.0,2060.0,7.007,102.0,494.4541729493677,99.26922802998794,104.62666666666667,35550.208333333336
1994-01-01,6.97,2.64488752888684,32.03732062605696,7115.652,146.3,1.58,2266.0,4575869.0,6.6,100.6118,4.0,2199.0,7.264,105.7,471.8516133941779,85.69975376451728,104.31,35721.5
1994-02-01,7.32,2.5543247450988957,30.934710672156488,7159.411666666667,146.7,1.48,3331.0,4599180.0,6.6,100.7356,3.0,2432.0,7.42,110.5,415.1964815390141,79.106613729896,103.63,35892.791666666664
1994-03-01,7.8,2.4381379668141085,29.5191982102215,7203.171333333333,147.1,1.56,4396.0,4622491.0,6.5,100.844,3.0,2669.0,7.312,115.0,398.6003509251712,107.56920560655333,102.95,36064.083333333336
1994-04-01,8.32,2.321825658095613,28.10127907239452,7246.931,147.2,1.33,5461.0,4645802.0,6.4,100.9606,3.0,2782.0,7.604,117.2,405.6772628092514,106.55053596404422,102.27,36235.375
1994-05-01,8.53,2.2774527339148185,27.560156505977258,7274.978999999999,147.5,1.16,7696.666666666666,4661451.333333333,6.1,101.0793,3.0,2638.0,6.899,109.6,367.25479095112354,114.47066324620657,101.94666666666666,36406.666666666664
1994-06-01,8.46,2.292084657889192,27.73860116612097,7303.027,147.9,1.15,9932.333333333332,4677100.666666667,6.1,101.1583,3.0,2769.0,7.034,100.9,403.0329910446301,108.56690038763728,101.62333333333333,36577.958333333336
1994-07-01,8.57,2.269161886739486,27.459040736514968,7331.075,148.4,1.13,12168.0,4692750.0,6.1,101.179,3.0,2774.0,6.839,98.3,540.2634412305673,138.56068937557149,101.3,36749.25
1994-08-01,8.56,2.271229839770708,27.484261915649626,7372.479333333333,149.0,1.02,6255.0,4728550.0,6.0,101.1994,3.0,3119.0,7.067,98.8,458.9151234313151,152.89861563160198,100.98666666666666,36920.541666666664
1994-09-01,8.82,2.2184749384447047,26.840799140885014,7413.883666666667,149.3,1.0,342.0,4764350.0,5.9,101.2671,3.0,2887.0,7.186,99.3,412.6034963054856,142.29733645376604,100.67333333333333,37091.833333333336
1994-10-01,9.03,2.1773567695156544,26.33920444765805,7455.288,149.4,0.97,-5571.0,4800150.0,5.8,101.2881,3.0,3136.0,7.415,102.4,411.83585530604796,139.06463848148604,100.36,37263.125
1994-11-01,9.25,2.1356479957808245,25.830357077913703,7477.621666666666,149.8,0.51,-3097.6666666666665,4821472.0,5.6,101.1809,3.0,2564.0,7.543,101.5,431.3883393836774,152.58359283997882,100.24,37434.416666666664
1994-12-01,9.18,2.1487706744611983,25.990458346107506,7499.955333333333,150.1,0.15,-624.333333333333,4842794.0,5.5,100.9439,3.0,2470.0,7.48,99.8,377.80475007464054,155.798986420758,100.12,37605.708333333336
1995-01-01,9.13,2.158228213663053,26.105841193374285,7522.289,150.5,0.34,1849.0,4864116.0,5.6,100.7182,3.0,2709.0,6.853,108.2,530.2435959042992,208.3148765921755,100.0,37777.0
1995-02-01,8.73,2.2365005339478405,27.06067310279127,7541.858333333334,150.9,0.43,2148.333333333333,4893201.333333333,5.4,100.3381,3.0,2833.0,6.843,112.0,497.01648341697535,202.50987364438922,100.23,37909.625
1995-03-01,8.38,2.309000846385402,27.94489154163622,7561.427666666666,151.2,0.4,2447.6666666666665,4922286.666666667,5.4,99.84444,3.0,3296.0,7.141,115.2,461.0301720321467,180.4578857000607,100.46,38042.25
1995-04-01,8.26,2.334770029312846,28.25911621750788,7580.997,151.8,0.47,2747.0,4951372.0,5.8,99.35561,3.0,2998.0,6.624,116.9,472.4971423066812,166.94958611681503,100.69,38174.875
1995-05-01,7.85,2.426537415641093,29.37781653616704,7615.039666666667,152.1,0.41,5121.666666666666,4958909.0,5.6,98.89627,3.0,3180.0,6.877,109.1,477.9459731740917,146.1087240927434,101.03666666666666,38307.5
1995-06-01,7.53,2.5023952444946738,30.302169869294023,7649.082333333334,152.4,0.42,7496.333333333333,4966446.0,5.6,98.75338,3.0,3303.0,7.196,103.1,547.3950729818496,218.30652956532523,101.38333333333334,38440.125
1995-07-01,7.79,2.44046909350007,29.547607757778263,7683.125,152.6,0.57,9871.0,4973983.0,5.7,98.87215,3.0,3492.0,6.904,103.1,545.2419668316121,192.35291885507476,101.73,38572.75
1995-08-01,7.88,2.419620887539056,29.29351728897456,7712.945333333333,152.9,0.43,7085.333333333334,4978877.0,5.7,98.82167,3.0,3445.0,7.482,102.6,456.8591956890783,166.1301180507586,101.71666666666667,38705.375
1995-09-01,7.62,2.480668791775363,30.03746616557878,7742.765666666667,153.1,0.34,4299.666666666667,4983771.0,5.6,98.73958,3.0,3223.0,7.365,106.0,432.98771372711246,169.56180464132828,101.70333333333333,38838.0
1995-10-01,7.45,2.52197179429741,30.54065096385817,7772.586,153.5,0.42,1514.0,4988665.0,5.5,98.58495,3.0,3074.0,7.11,108.3,439.96122115150195,141.47115508032107,101.69,38970.625
1995-11-01,7.35,2.546798498009329,30.84304798608908,7804.546666666667,153.7,0.4,4867.333333333334,5031705.333333333,5.6,98.44193,3.0,2931.0,7.347,105.5,404.17392675716894,114.56063435059625,101.71,39103.25
1995-12-01,7.11,2.608043089676177,31.588818674065102,7836.507333333333,153.9,0.4,8220.666666666668,5074745.666666667,5.6,98.36424,3.0,2558.0,7.626,104.8,375.9110146096609,111.27741912239674,101.73,39235.875
1996-01-01,7.0,2.636921251494996,31.940358188912025,7868.468,154.7,0.67,11574.0,5117786.0,5.6,98.34098,3.0,2871.0,6.834,107.4,363.95539513085623,97.5458678003858,101.75,39368.5
1996-02-01,7.32,2.5543247450988957,30.934710672156488,7923.258666666667,155.0,0.69,10840.666666666666,5132216.0,5.5,98.44072,2.0,3451.0,7.378,110.1,340.20634815455566,100.45575858225959,101.21,39501.125
1996-03-01,7.69,2.4639844968456788,29.834170938462137,7978.049333333333,155.5,0.55,10107.333333333334,5146646.0,5.5,98.67973,2.0,4046.0,7.677,113.6,321.4791921135528,94.15870806480254,100.67,39633.75
1996-04-01,7.92,2.4104495467226346,29.18173156434687,8032.84,156.1,0.63,9374.0,5161076.0,5.6,99.01083,2.0,3879.0,7.412,114.8,318.0945489636133,89.71691024588723,100.13,39766.375
1996-05-01,8.03,2.385523562533743,28.87789303117364,8065.696,156.4,0.58,9441.0,5182321.0,5.6,99.30595,2.0,3727.0,7.788,112.7,333.14665552188694,110.43165718117871,100.12333333333333,39899.0
1996-06-01,8.29,2.328282810372881,28.18001539856108,8098.552000000001,156.7,0.62,9508.0,5203566.0,5.3,99.55668,2.0,3538.0,7.184,112.1,433.98843029318664,99.62128934214354,100.11666666666666,40031.625
