,1,2,MostLikelyRegime
2011-04-30,1.0,3.78311933633e-312,1.0
2011-05-31,1.0,1.7184334872940125e-260,1.0
2011-06-30,1.0,3.9058404304047975e-214,1.0
2011-07-31,1.0,4.584437021300785e-172,1.0
2011-08-31,1.0,7.306311117518165e-172,1.0
2011-09-30,1.0,1.8532660654100106e-171,1.0
2011-10-31,1.0,3.919903753389773e-170,1.0
2011-11-30,1.0,5.245992608758783e-222,1.0
2011-12-31,1.0,2.0732362071867843e-281,1.0
2012-01-31,1.0,0.0,1.0
2012-02-29,1.0,9.57815225028297e-253,1.0
2012-03-31,1.0,3.746636076724495e-174,1.0
2012-04-30,1.0,2.0895189892744104e-113,1.0
2012-05-31,1.0,5.653432508494257e-124,1.0
2012-06-30,1.0,3.825674496198998e-135,1.0
2012-07-31,1.0,2.0320072650865248e-147,1.0
2012-08-31,1.0,1.6960420680621958e-88,1.0
2012-09-30,1.0,2.324345258625004e-53,1.0
2012-10-31,1.0,2.6952330076557596e-38,1.0
2012-11-30,1.0,1.3489720103916248e-39,1.0
2012-12-31,1.0,3.9225449729349964e-45,1.0
2013-01-31,1.0,1.6957529694965355e-54,1.0
2013-02-28,1.0,3.356319813364635e-38,1.0
2013-03-31,1.0,4.0161002792843134e-58,1.0
2013-04-30,1.0,1.1045309081877363e-116,1.0
2013-05-31,1.0,3.6558307912569793e-91,1.0
2013-06-30,1.0,2.1745388141176434e-68,1.0
2013-07-31,1.0,1.3490814460099193e-54,1.0
2013-08-31,1.0,4.9135687492689163e-107,1.0
2013-09-30,1.0,1.4238353411786633e-194,1.0
2013-10-31,1.0,2.449730603e-315,1.0
2013-11-30,1.0,3.281798212439874e-201,1.0
2013-12-31,1.0,4.235131612623812e-116,1.0
2014-01-31,1.0,1.8359035460326233e-61,1.0
2014-02-28,1.0,1.9795978065230195e-43,1.0
2014-03-31,1.0,1.0170353266281511e-33,1.0
2014-04-30,1.0,1.424986501344352e-32,1.0
2014-05-31,1.0,7.907122653739885e-40,1.0
2014-06-30,1.0,5.492388917654276e-53,1.0
2014-07-31,1.0,8.87884994903894e-74,1.0
2014-08-31,1.0,1.4530488771969204e-39,1.0
2014-09-30,1.0,7.5754046535907884e-34,1.0
2014-10-31,1.0,2.564437230683704e-59,1.0
2014-11-30,1.0,1.1880563625658065e-39,1.0
2014-12-31,1.0,2.1533490768249315e-34,1.0
2015-01-31,1.0,1.6664195956623911e-43,1.0
2015-02-28,1.0,9.023168844780824e-47,1.0
2015-03-31,1.0,5.9591512306007085e-50,1.0
2015-04-30,1.0,1.5986884702794193e-52,1.0
2015-05-31,1.0,3.421506236954566e-40,1.0
2015-06-30,1.0,1.0102668914823792e-98,1.0
2015-07-31,1.0,1.0716502431160104e-228,1.0
2015-08-31,1.0,2.7193802629758646e-202,1.0
2015-09-30,1.0,1.4375305748836742e-176,1.0
2015-10-31,1.0,4.653700315582077e-154,1.0
2015-11-30,1.0,1.331466165945318e-153,1.0
2015-12-31,1.0,3.34357587945979e-154,1.0
2016-01-31,1.0,3.8572618554774206e-157,1.0
2016-02-29,1.0,5.475158980328651e-251,1.0
2016-03-31,1.0,0.0,1.0
2016-04-30,1.0,0.0,1.0
2016-05-31,1.0,1.0571180094453834e-304,1.0
2016-06-30,1.0,5.364672898939391e-160,1.0
